Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
BUGATTI Chiron Super Sport,8,16,AMS-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,PVGAV08.0GLB,small car,1,8,11,9,1,No,979
BUICK Enclave,3.6,6,Auto-9,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,PGMXT03.6151,standard SUV,6,18,26,21,4,No,424
BUICK Enclave,3.6,6,Auto-9,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,PGMXT03.6151,standard SUV,6,18,26,21,4,No,424
BUICK Enclave,3.6,6,Auto-9,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,PGMXT03.6151,standard SUV,6,17,25,20,4,No,448
BUICK Enclave,3.6,6,Auto-9,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,PGMXT03.6151,standard SUV,6,17,25,20,4,No,448
BUICK Encore GX,1.2,3,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PGMXV01.3545,small SUV,7,29,31,30,6,No,296
BUICK Encore GX,1.2,3,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PGMXV01.3545,small SUV,7,29,31,30,6,No,296
BUICK Encore GX,1.3,3,Auto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PGMXV01.3545,small SUV,7,26,29,27,5,No,324
BUICK Encore GX,1.3,3,Auto-9,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PGMXV01.3545,small SUV,7,26,29,27,5,No,324
BUICK Encore GX,1.3,3,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PGMXV01.3545,small SUV,7,29,32,30,6,No,297
BUICK Encore GX,1.3,3,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PGMXV01.3545,small SUV,7,29,32,30,6,No,297
BUICK Envision,2,4,SemiAuto-9,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PGMXT02.0500,small SUV,7,23,31,26,5,No,337
BUICK Envision,2,4,SemiAuto-9,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PGMXT02.0500,small SUV,7,23,31,26,5,No,337
BUICK Envision,2,4,SemiAuto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PGMXT02.0500,small SUV,7,22,29,25,5,No,355
BUICK Envision,2,4,SemiAuto-9,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PGMXT02.0500,small SUV,7,22,29,25,5,No,355
CADILLAC CT4,2,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PGMXV02.0041,small car,7,23,34,27,5,No,331
CADILLAC CT4,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PGMXV02.0041,small car,7,23,34,27,5,No,331
CADILLAC CT4,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PGMXV02.0041,small car,7,22,31,26,5,No,348
CADILLAC CT4,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PGMXV02.0041,small car,7,22,31,26,5,No,348
CADILLAC CT4,2.7,4,SemiAuto-10,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,PGMXV02.7105,small car,6,21,31,25,5,No,356
CADILLAC CT4,2.7,4,SemiAuto-10,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,PGMXV02.7105,small car,6,21,31,25,5,No,356
CADILLAC CT4,2.7,4,SemiAuto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,PGMXV02.7105,small car,6,21,29,24,5,No,371
CADILLAC CT4,2.7,4,SemiAuto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,PGMXV02.7105,small car,6,21,29,24,5,No,371
CADILLAC CT4 V,2.7,4,SemiAuto-10,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,PGMXV02.7105,small car,6,20,29,23,5,No,385
CADILLAC CT4 V,2.7,4,SemiAuto-10,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,PGMXV02.7105,small car,6,20,29,23,5,No,385
CADILLAC CT4 V,2.7,4,SemiAuto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,PGMXV02.7105,small car,6,20,28,23,5,No,387
