Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
VOLVO S60,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MVVXJ02.0S30,small car,7,21,32,25,5,No,352
VOLVO S60,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVVXJ02.0U70,small car,5,22,33,26,5,No,345
VOLVO S90,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MVVXJ02.0S30,midsize car,7,21,32,25,5,No,356
VOLVO S90,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MVVXJ02.0S30,midsize car,7,21,32,25,5,No,356
VOLVO V60,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVVXJ02.0U70,station wagon,5,23,34,27,6,No,322
VOLVO V60 CC,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVVXJ02.0U70,station wagon,5,22,31,25,5,No,354
VOLVO V90,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVVXJ02.0U70,station wagon,5,22,33,26,5,No,339
VOLVO V90,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MVVXJ02.0S30,station wagon,7,21,32,25,5,No,356
VOLVO V90,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MVVXJ02.0S30,station wagon,7,21,32,25,5,No,356
VOLVO V90 CC,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MVVXJ02.0S30,station wagon,7,20,30,24,5,No,373
VOLVO V90 CC,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MVVXJ02.0S30,station wagon,7,20,30,24,5,No,373
VOLVO XC40,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVVXJ02.0U70,small SUV,5,23,32,26,5,No,340
VOLVO XC40,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVVXJ02.0U70,small SUV,5,22,30,25,5,No,359
VOLVO XC60,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVVXJ02.0U70,small SUV,5,22,29,25,5,No,359
VOLVO XC60,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MVVXJ02.0S30,small SUV,7,20,27,23,5,No,386
VOLVO XC60,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MVVXJ02.0S30,small SUV,7,20,27,23,5,No,386
VOLVO XC60,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVVXJ02.0U70,small SUV,5,21,28,24,5,No,375
VOLVO XC90,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVVXJ02.0U70,standard SUV,5,21,30,25,5,No,361
VOLVO XC90,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MVVXJ02.0S30,standard SUV,7,19,28,22,4,No,394
VOLVO XC90,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MVVXJ02.0S30,standard SUV,7,19,28,22,4,No,394
VOLVO XC90,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVVXJ02.0U70,standard SUV,5,20,28,23,5,No,380
ACURA ILX,2.4,4,AMS-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,NHNXV02.4KH3,small car,3,24,34,28,6,No,316
ACURA ILX,2.4,4,AMS-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,NHNXV02.4KH3,small car,3,24,34,28,6,No,316
ACURA RDX,2,4,SemiAuto-10,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,NHNXT02.08VC,small SUV,6,22,28,24,5,No,370
ACURA RDX,2,4,SemiAuto-10,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,NHNXT02.08VC,small SUV,6,22,28,24,5,No,370
ACURA RDX,2,4,SemiAuto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,NHNXT02.08VC,small SUV,6,21,27,23,5,No,385
ACURA RDX,2,4,SemiAuto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,NHNXT02.08VC,small SUV,6,21,27,23,5,No,385
ACURA RDX A-SPEC,2,4,SemiAuto-10,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,NHNXT02.09VC,small SUV,6,22,27,24,5,No,375
ACURA RDX A-SPEC,2,4,SemiAuto-10,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,NHNXT02.09VC,small SUV,6,22,27,24,5,No,375
ACURA RDX A-SPEC,2,4,SemiAuto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,NHNXT02.09VC,small SUV,6,21,26,23,5,No,388
ACURA RDX A-SPEC,2,4,SemiAuto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,NHNXT02.09VC,small SUV,6,21,26,23,5,No,388
